Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",147,636,513,146,76,25,1,44,109,113,112,23,161,6,4,1,,8,2,0.284307,0.17585,0.252805,0.695597,0.415569,0.593893,0.417067,1.00946,0.309586,3.84693,0.326291,-1.04481,-0.361173,128.867,53.7129,172.974,-1.40598,2.5671,53.299408316612244,-4.544009685516357,7.22879,1.850000023841858,,,,,,,1160,7.891156462,1160,7.891156462,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",156,675,613,179,105,38,7,29,103,95,50,6,115,6,4,1,,33,10,0.291554,0.074455,0.170617,0.436387,0.349304,0.516079,0.366641,0.865384,0.224525,6.91385,0.316914,1.6839,1.54907,109.092,29.3584,134.092,3.23297,6.96927,30.347773551940918,14.199361324310303,6.93477,3.0999999046325684,,,,,,,1014.8,6.505128205,1014.8,6.505128205,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",157,630,542,124,62,22,0,39,87,100,77,10,174,5,4,1,,7,2,0.228525,0.122147,0.276608,0.441588,0.327987,0.486491,0.344374,0.814478,0.257966,3.20561,0.254683,-1.30022,-0.412566,90.3918,16.0078,128.302,-1.71279,4.62601,19.286471366882324,11.687737941741943,6.10628,18.729999542236328,,,,,,,836.5,5.328025477,836.5,5.328025477,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Juan Soto","NYM",158,682,543,147,84,25,2,37,112,100,129,9,120,4,4,2,,22,5,0.270856,0.189686,0.176013,1.07768,0.411664,0.526137,0.399987,0.937802,0.255282,4.9551,0.282416,-0.567116,0.754593,128.675,48.1194,162.89,0.187477,-7.11453,51.004875138401985,-14.617926120758057,6.04284,4.650000095367432,,,,,,,1138.7,7.206962025,1138.7,7.206962025,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",157,678,614,166,104,29,2,31,95,99,49,5,151,9,4,1,,26,7,0.270681,0.0721182,0.223554,0.322598,0.331716,0.474825,0.344767,0.80654,0.204144,5.53873,0.310764,0.491222,1.28054,97.5002,17.4447,128.573,1.77176,6.41629,24.588432550430298,8.63851261138916,5.78616,9.489999771118164,,,,,,,906.3,5.772611464,906.3,5.772611464,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Shohei Ohtani","LAD",155,671,567,159,81,27,5,45,126,113,92,17,162,5,4,2,,25,5,0.279711,0.137733,0.242125,0.568849,0.383017,0.585972,0.402102,0.968989,0.306261,6.77416,0.311869,0.0660513,1.69466,127.723,48.4842,161.547,1.76071,0,50.67972791194916,-16.765432357788086,5.75192,1.2699999809265137,,,,,,,1177.7,7.598064516,1177.7,7.598064516,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",155,668,588,160,95,32,5,27,99,88,69,4,140,6,4,1,,22,5,0.271511,0.103221,0.209413,0.492908,0.351741,0.482208,0.35761,0.833949,0.210697,6.16957,0.311488,1.27814,1.18222,103.071,24.1592,132.332,2.46037,-2.08242,27.910602807998657,5.073139667510986,5.72718,12.510000228881836,,,,,,,935.9,6.038064516,935.9,6.038064516,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",154,664,578,157,95,30,2,30,104,85,73,4,129,6,4,2,,25,6,0.271625,0.110661,0.194947,0.567647,0.357819,0.486636,0.362433,0.844455,0.215011,5.61303,0.300105,0.531826,1.43748,105.03,26.6082,137.602,1.96931,6.57651,31.54832351207733,-0.7321357727050781,5.41142,14.010000228881836,,,,,,,949.3,6.164285714,949.3,6.164285714,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",150,647,543,154,96,26,2,30,113,83,92,4,134,7,4,2,,27,6,0.283612,0.141784,0.207208,0.684258,0.391375,0.506625,0.386123,0.898,0.223013,5.9937,0.323452,1.15655,1.63712,114.827,38.3816,149.621,2.79366,-4.06057,40.843297243118286,-11.78757381439209,5.1744,5.260000228881836,,,,,,,1019.7,6.798,1019.7,6.798,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",151,654,577,149,93,30,1,26,97,81,60,2,120,11,4,2,,23,5,0.258851,0.0914877,0.183852,0.497615,0.337825,0.449144,0.341012,0.786969,0.190293,5.5289,0.284088,-0.460833,1.57243,92.1112,14.8434,122.49,1.1116,3.59142,18.542852640151978,10.100992918014526,5.15593,25.350000381469727,,,,,,,837.2,5.54437086,837.2,5.54437086,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
