Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,7,22,2.68802,32,32,0,0,,197,782,156,64,59,18,39,,7,242,11.0197,1.7646,6.24484,0.840627,0.309341,0.0495354,0.2598055452108383,0.211667,0.985239,0.288633,0.771068,,,2.58978,6.30824,6.0878,7.019999980926514,,,,,,,1176.8000000000002,5.973604060913707,1097,5.568527918781726,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,8,21,2.94287,32,32,0,0,,193,783,160,69,63,19,51,,5,240,11.1675,2.37284,4.70638,0.883751,0.306575,0.0651404,0.24143491685390472,0.220139,1.09073,0.301435,0.77,,,2.80093,5.6806,5.61288,12.239999771118164,,,,,,,1090.5,5.650259067357513,1030,5.33678756476684,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,8,21,2.91763,32,32,0,0,,184,748,150,65,60,17,50,,7,218,10.633,2.43514,4.36648,0.810524,0.291408,0.0667376,0.22467084974050522,0.216594,1.08188,0.291503,0.761132,,,2.86852,5.15514,5.47459,9.649999618530273,,,,,,,1027.5000000000002,5.584239130434784,964,5.239130434782608,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",13,8,20,3.1562,32,32,0,0,,198,812,180,77,70,17,48,,7,197,8.93829,2.17361,4.11219,0.790179,0.242355,0.0589359,0.18341948464512825,0.237926,1.15116,0.299694,0.744087,,,3.11418,4.94939,5.12782,24.75,,,,,,,1017.1000000000001,5.136868686868688,998,5.040404040404041,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",14,9,20,3.20473,32,32,0,0,,199,822,189,78,71,16,44,,6,190,8.57936,1.98451,4.32315,0.707794,0.23058,0.053336,0.1772438883781433,0.244127,1.16868,0.30488,0.733888,,,3.00169,4.51335,4.44194,57.189998626708984,,,,,,,1014.4000000000002,5.097487437185931,1017,5.110552763819095,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jacob deGrom","TEX",11,9,17,3.49822,29,29,0,0,,174,711,151,73,68,23,40,,5,203,10.5024,2.0626,5.09182,1.207,0.285315,0.056034,0.22928106784820557,0.226708,1.09753,0.290303,0.746115,,,3.32384,4.0673,3.42146,50.0099983215332,,,,,,,883.1000000000003,5.075287356321841,842,4.839080459770115,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Chris Sale","ATL",11,7,17,3.22397,27,27,0,0,,164,670,139,64,59,17,45,,10,197,10.8323,2.45112,4.41934,0.9401,0.293656,0.0664478,0.22720790654420853,0.225755,1.12259,0.303391,0.750857,,,3.0832,3.91397,4.08985,39.36000061035156,,,,,,,872.1000000000003,5.31768292682927,828,5.048780487804878,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Sonny Gray","BOS",11,10,18,3.67725,31,31,0,0,,180,752,170,80,74,21,48,,6,190,9.46982,2.39204,3.95889,1.047,0.252213,0.0637079,0.18850504606962204,0.242711,1.20627,0.304522,0.730328,,,3.43398,3.88363,3.51327,138.08999633789062,,,,,,,849.7,4.720555555555555,845,4.694444444444445,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Hunter Brown","HOU",13,8,18,3.33138,30,30,0,0,,179,745,153,72,66,18,61,,7,197,9.91284,3.05531,3.24446,0.900219,0.265076,0.081701,0.18337488174438477,0.225399,1.19118,0.291665,0.749408,,,3.36204,3.86156,3.93207,36.189998626708984,,,,,,,895.4000000000001,5.002234636871509,851,4.754189944134078,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",14,9,18,3.36687,30,30,0,0,,186,773,168,76,70,17,53,,7,173,8.35708,2.56629,3.25649,0.8326,0.223776,0.0687168,0.15505880862474442,0.236104,1.18826,0.289089,0.734665,,,3.45404,3.75998,3.76347,50.04999923706055,,,,,,,896.5000000000002,4.819892473118281,875,4.704301075268817,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
